#separator:tab
#html:false
#notetype:Basic (and reversed card)
#columns:Front	Back
会います（あいます）	会う（あう）- to meet
生まれます（うまれます）	生まれる（うまれる）- to be born
起きます（おきます）	起きる（おきる）- to wake up/get up
教えます（おしえます）	教える（おしえる）- to teach/tell
降ります（おります）	降りる（おりる）- to get off/descend
覚えます（おぼえます）	覚える（おぼえる）- to remember/memorize
変えます（かえます）	変える（かえる）- to change (something)
かけます	かける - to make a phone call
借ります（かります）	借りる（かりる）- to borrow
消えます（きえます）	消える（きえる）- to disappear/go out
着ます（きます）	着る（きる）- to wear (upper body)
くれます	くれる - to give (to me/us)
閉めます（しめます）	閉める（しめる）- to close (transitive)
調べます（しらべます）	調べる（しらべる）- to investigate/look up
捨てます（すてます）	捨てる（すてる）- to throw away
食べます（たべます）	食べる（たべる）- to eat
足ります（たります）	足りる（たりる）- to be enough
疲れます（つかれます）	疲れる（つかれる）- to get tired
つけます	つける - to turn on/attach
出かけます（でかけます）	出かける（でかける）- to go out
できます	できる - to be able to/be ready
出ます（でます）	出る（でる）- to exit/leave
止めます（とめます）	止める（とめる）- to stop (transitive)
並べます（ならべます）	並べる（ならべる）- to line up/arrange
寝ます（ねます）	寝る（ねる）- to sleep/go to bed
始めます（はじめます）	始める（はじめる）- to start (transitive)
見えます（みえます）	見える（みえる）- to be visible
見せます（みせます）	見せる（みせる）- to show
見ます（みます）	見る（みる）- to see/watch/look
迎えます（むかえます）	迎える（むかえる）- to welcome/go to meet
忘れます（わすれます）	忘れる（わすれる）- to forget
来ます（きます）	来る（くる）- to come
します	する - to do
勉強します（べんきょうします）	勉強する（べんきょうする）- to study
散歩します（さんぽします）	散歩する（さんぽする）- to take a walk
掃除します（そうじします）	掃除する（そうじする）- to clean
洗濯します（せんたくします）	洗濯する（せんたくする）- to do laundry
料理します（りょうりします）	料理する（りょうりする）- to cook
買い物します（かいものします）	買い物する（かいものする）- to go shopping
電話します（でんわします）	電話する（でんわする）- to make a phone call
結婚します（けっこんします）	結婚する（けっこんする）- to marry
コピーします	コピーする - to copy
心配します（しんぱいします）	心配する（しんぱいする）- to worry
旅行します（りょこうします）	旅行する（りょこうする）- to travel
練習します（れんしゅうします）	練習する（れんしゅうする）- to practice
運動します（うんどうします）	運動する（うんどうする）- to exercise
食事します（しょくじします）	食事する（しょくじする）- to have a meal
仕事します（しごとします）	仕事する（しごとする）- to work (job)
紹介します（しょうかいします）	紹介する（しょうかいする）- to introduce
質問します（しつもんします）	質問する（しつもんする）- to ask a question
説明します（せつめいします）	説明する（せつめいする）- to explain
約束します（やくそくします）	約束する（やくそくする）- to promise
